"KRAJMALNIK-BROWN, ROSA","RITTMANN, BRUCE EDWARD"
"REDMAN, LEANNE MAREE","MARTIN, CORBY K"
"PACK, MICHAEL A","WELLS, REBECCA G"
"KAPLAN, HILLARD S","GURVEN, MICHAEL DOUGLAS"
"HAIRE-JOSHU, DEBRA","KLEIN, SAMUEL"
"HAIRE-JOSHU, DEBRA","MOLEY, KELLE H"
"KLEIN, SAMUEL","MOLEY, KELLE H"
"GALLAGHER, DYMPNA","PI-SUNYER, XAVIER"
"VANMETER, ASHLEY S","FISHBEIN, DIANA H"
"GEPSHTEIN, SERGEI","ALBRIGHT, THOMAS D"
"PARSONS, DONALD W.","PLON, SHARON E."
"VANOYE, CARLOS G.","SANDERS, CHARLES R"
"LISANBY, SARAH H","PRUDIC, JOAN"
"MARGULIES, SUSAN SHEPS","DUHAIME, ANN-CHRISTINE"
"LAYARD, RICHARD","KNAPP, MARTIN"
"LAYARD, RICHARD","MACHIN, STEPHEN JONATHAN"
"KNAPP, MARTIN","MACHIN, STEPHEN JONATHAN"
"LEE, TAI-SING","YUILLE, ALAN L"
"KENWORTHY, ANNE K","LOYD, JAMES E"
"KOWLURU, RENU A.","KOWLURU, ANJANEYULU"
"GOLDBERG, JEFFREY L","KAPILOFF, MICHAEL SETH"
"CLARK, ANDREW G","BUSTAMANTE, CARLOS DANIEL"
"CLARK, ANDREW G","NIELSEN, RASMUS"
"BUSTAMANTE, CARLOS DANIEL","NIELSEN, RASMUS"
"PEACEMAN, ALAN M","VAN HORN, LINDA VERNER"
"PEACEMAN, ALAN M","VAN HORN, LINDA VERNER"
"MONTELIONE, GAETANO T","ARROWSMITH, CHERYL H"
"MONTELIONE, GAETANO T","MARCOTRIGIANO, JOSEPH"
"MONTELIONE, GAETANO T","ANDERSON, STEPHEN"
"ARROWSMITH, CHERYL H","MARCOTRIGIANO, JOSEPH"
"ARROWSMITH, CHERYL H","ANDERSON, STEPHEN"
"MARCOTRIGIANO, JOSEPH","ANDERSON, STEPHEN"
"LAUDERDALE, DIANE SPERLING","MACAL, CHARLES MARTIN"
"HALLORAN, M ELIZABETH","LONGINI, IRA M"
"IYENGAR, SUDHA K","MARES, JULIE A"
"EUBANK, STEPHEN G","MARATHE, MADHAV VISHNU"
"DANIEL, STEPHANIE S","GRZYWACZ, JOSEPH G."
"COOPERMAN, BARRY S.","GOLDMAN, YALE E"
"EL-KHOURY, JOSEPH EL","MOORE, KATHRYN J"
"VAN CAUTER, EVE","EHRMANN, DAVID A"
"KRUSE, CAROL A","LIAU, LINDA M"
"OGEDEGBE, OLUGBENGA G.","LANCASTER, KRISTIE J"
"YEO, EUGENE WEI-MING","GOLDSTEIN, LAWRENCE S."
"YEO, EUGENE WEI-MING","FRAZER, KELLY A"
"YEO, EUGENE WEI-MING","IZPISUA BELMONTE, JUAN CARLOS"
"YEO, EUGENE WEI-MING","HARISMENDY, OLIVIER"
"YEO, EUGENE WEI-MING","EVANS, SYLVIA M"
"GOLDSTEIN, LAWRENCE S.","FRAZER, KELLY A"
"GOLDSTEIN, LAWRENCE S.","IZPISUA BELMONTE, JUAN CARLOS"
"GOLDSTEIN, LAWRENCE S.","HARISMENDY, OLIVIER"
"GOLDSTEIN, LAWRENCE S.","EVANS, SYLVIA M"
"FRAZER, KELLY A","IZPISUA BELMONTE, JUAN CARLOS"
"FRAZER, KELLY A","HARISMENDY, OLIVIER"
"FRAZER, KELLY A","EVANS, SYLVIA M"
"IZPISUA BELMONTE, JUAN CARLOS","HARISMENDY, OLIVIER"
"IZPISUA BELMONTE, JUAN CARLOS","EVANS, SYLVIA M"
"HARISMENDY, OLIVIER","EVANS, SYLVIA M"
"TANJASIRI, SORA P","SANTOS, LOLA SABLAN"
"WAHL, RICHARD LEO","ABRAHAM, MARIA ROSELLE"
"YAMANAKA, SHINYA","BRUNEAU, BENOIT GAETAN"
"YAMANAKA, SHINYA","CONKLIN, BRUCE R"
"YAMANAKA, SHINYA","SRIVASTAVA, DEEPAK"
"BRUNEAU, BENOIT GAETAN","CONKLIN, BRUCE R"
"BRUNEAU, BENOIT GAETAN","SRIVASTAVA, DEEPAK"
"CONKLIN, BRUCE R","SRIVASTAVA, DEEPAK"
"PANOSKALTSIS-MORTARI, ANGELA","TAYLOR, DORIS A"
"WAHL, RICHARD LEO","ABRAHAM, MARIA ROSELLE"
"MAISTO, STEPHEN A","CONNORS, GERARD J"
"BROOKS-KAYAL, AMY R.","RUSSEK, SHELLEY J"
"CLARK, ANDREW G","BUSTAMANTE, CARLOS DANIEL"
"SACCO, RALPH L.","ELKIND, MITCHELL S"
"SHAW, DANIEL S","FORBES, ERIKA E"
"GREALLY, JOHN","SUSZTAK, KATALIN"
"SIADAT, MOHAMMAD-REZA","DIOKNO, ANANIAS C"
"KUHN, LOUISE","ALDROVANDI, GRACE M"
"GAZIT, DAN","SCHWARZ, EDWARD M."
"GEIGER, HARTMUT","ZHENG, YI"
"SIMON, JULIAN A","RAIBLE, DAVID W"
"SIMON, JULIAN A","RUBEL, EDWIN W"
"RAIBLE, DAVID W","RUBEL, EDWIN W"
"THOM, ELIZABETH ANN","CLIFTON, REBECCA GERSNOVIEZ"
"KLEINDORFER, DAWN O","KISSELA, BRETT M"
"LONG, JIRONG","ZHENG, WEI"
"GRAY, CHARLES M","OLSHAUSEN, BRUNO A."
"GRAY, CHARLES M","ROZELL, CHRISTOPHER JOHN"
"OLSHAUSEN, BRUNO A.","ROZELL, CHRISTOPHER JOHN"
"CAMP, DAVID G","SARWAL, MINNIE M"
