from,to
"WESTERFIELD, MONTE","MICKLEM, GOS"
"STEIN, LINCOLN D.","WORTHEY, ELIZABETH A"
"STEIN, LINCOLN D.","RICHARDSON, JOEL E."
"STEIN, LINCOLN D.","CHERRY, J. MICHAEL"
"STEIN, LINCOLN D.","MICKLEM, GOS"
"WORTHEY, ELIZABETH A","RICHARDSON, JOEL E."
"WORTHEY, ELIZABETH A","CHERRY, J. MICHAEL"
"WORTHEY, ELIZABETH A","MICKLEM, GOS"
"RICHARDSON, JOEL E.","CHERRY, J. MICHAEL"
"RICHARDSON, JOEL E.","MICKLEM, GOS"
"CHERRY, J. MICHAEL","MICKLEM, GOS"
"MASON, ANDREW J","ZENG, XIANGQUN"
"ABDEL-RAHMAN, SUSAN M","DOWD, MARY DENISE"
"O'DORISIO, M. SUE","MENDA, YUSUF"
"BAE, KYONGTAE T","BOST, JAMES E."
"WEISSMAN, DREW","HOXIE, JAMES A"
"KREBSBACH, PAUL HUGO","TAICHMAN, RUSSELL S"
"WEST, JENNIFER L","DICKINSON, MARY E"
"BEECHAM, GARY WAYNE","SEO, DAVID M"
"SUCHESTON-CAMPBELL, LARA","HAHN, THERESA E"
"CAPORASO, NEIL EDWARD","SLAGER, SUSAN L"
"FOX, HOWARD S","SARVETNICK, NORA E"
"MANNINO, DAVID","MARTINEZ, FERNANDO J"
"MANNINO, DAVID","LEIDY, NANCY KLINE"
"MARTINEZ, FERNANDO J","LEIDY, NANCY KLINE"
"HARIRI, AHMAD R","STRAUMAN, TIMOTHY J"
"ARLOTTA, PAOLA","JOUNG, J. KEITH"
"ARLOTTA, PAOLA","ZHANG, FENG"
"JOUNG, J. KEITH","ZHANG, FENG"
"MCCAULEY, LAURIE K.","MA, PETER X"
"RUGGIERI, MICHAEL RAYMOND","BARBE, MARY F"
"KINNAMON, SUE C.","FINGER, THOMAS E"
"LOWTHER, W TODD","HOLMES, ROSS P"
"BIRCH, LEANN L.","ROLLS, BARBARA JEAN"
"LONGSTRETH, JAMES ALVAN","GORODETZKY, CHARLES W."
"KROGAN, NEVAN J","KORTEMME, TANJA"
"KOEHLER, CARLA M","TEITELL, MICHAEL A"
"SHI, WENYUAN","LUX, RENATE"
"CHOE, SENYON","SLESINGER, PAUL A"
"CHERPITEL, CHERYL J","BORGES, GUILHERME LUIZ GUIMARAES"
"EGGER, MATTHIAS","DAVIES, MARY-ANN"
"EGGER, MATTHIAS","DAVIES, MARY-ANN"
"EGGER, MATTHIAS","DAVIES, MARY-ANN"
"KNIGHT, KATHERINE L.","IWASHIMA, MAKIO"
"WOHL, DAVID A","KNIGHT, KEVIN"
"WOHL, DAVID A","FLYNN, PATRICK M"
"WOHL, DAVID A","GOLIN, CAROL E"
"KNIGHT, KEVIN","FLYNN, PATRICK M"
"KNIGHT, KEVIN","GOLIN, CAROL E"
"FLYNN, PATRICK M","GOLIN, CAROL E"
"TUREK, FRED W","KESHAVARZIAN, ALI"
"JOSHI, PRATIBHA C","GUIDOT, DAVID MARSHALL"
"PFIFFNER, LINDA","HINSHAW, STEPHEN"
"HERZOG, ROLAND W.","DANIELL, HENRY"
"CHASSIN, LAURIE A","PRESSON, CLARK C."
"DENNER, LARRY","DINELEY, KELLY T"
"LOUIE, ANGELIQUE Y","JACOBS, RUSSELL E"
"LOUIE, ANGELIQUE Y","CHERRY, SIMON R"
"JACOBS, RUSSELL E","CHERRY, SIMON R"
"SEIDMAN, CHRISTINE E","NEWBURGER, JANE W."
"CHERNEY, LEORA R","VAN VUUREN, SAREL"
"DORSEY, SUSAN G","SWEATT, JOHN DAVID"
"PARK, JANE H.","DAMON, BRUCE M."
"WORRALL, BRADFORD B","SALE, MICHELE M"
"CURRAN, PATRICK J","HUSSONG, ANDREA M"
"ENGELEN, MARIELLE PKJ","DEUTZ, NICOLAAS E"
"JAY, GREGORY D.","WARMAN, MATTHEW L"
"ABAGYAN, RUBEN","HANDEL, TRACY M"
"SANES, JOSHUA R","LICHTMAN, JEFF W"
"LUMENG, JULIE C","MILLER, ALISON L"
"LUMENG, JULIE C","MILLER, ALISON L"
"WEINBERG, JORDAN ALLAN","PATEL, RAKESH P."
"WEINBERG, JORDAN ALLAN","BARNUM, SCOTT R"
"PATEL, RAKESH P.","BARNUM, SCOTT R"
"STALLINGS, MICHAEL C.","DONNELLAN, MICHAEL BRENT"
"STALLINGS, MICHAEL C.","CONGER, RAND DONALD"
"DONNELLAN, MICHAEL BRENT","CONGER, RAND DONALD"
"KELLY, KRISTEN M","CHOI, BERNARD"
"REICHERT, DAVID E.","KENIS, PAUL J. A."
"COLEMAN, MATTHEW ADRIAN","HENDERSON, PAUL THOMAS"
"VIGNERON, DANIEL B","HURD, RALPH EUGENE"
"VIGNERON, DANIEL B","KURHANEWICZ, JOHN"
"HURD, RALPH EUGENE","KURHANEWICZ, JOHN"
"MARINI, FRANK C.","GOMEZ-MANZANO, CANDELARIA"
"KRIESEL, JOHN D","BYINGTON, CARRIE L."
"KRIESEL, JOHN D","CRISP, ROBERT JOHN"
"BYINGTON, CARRIE L.","CRISP, ROBERT JOHN"
"CAMPBELL, THOMAS B.","HAKIM, JAMES GITA"
"PFEIFFER, JAMES T.","CHAPMAN, RACHEL REBEKAH"
"GALLO, GIANLUCA","BARBEE, KENNETH A"
"GALLO, GIANLUCA","RAGHUPATHI, RAMESH"
"BARBEE, KENNETH A","RAGHUPATHI, RAMESH"
"PHIPPS, RICHARD P.","BLUMBERG, NEIL"
"DANISHEFSKY, SAMUEL J","RAGUPATHI, GOVIND"
"DANISHEFSKY, SAMUEL J","LIVINGSTON, PHILIP O."
"DANISHEFSKY, SAMUEL J","LEWIS, JASON S."
"RAGUPATHI, GOVIND","LIVINGSTON, PHILIP O."
"RAGUPATHI, GOVIND","LEWIS, JASON S."
"LIVINGSTON, PHILIP O.","LEWIS, JASON S."
"STEFANI, ENRICO","TORO DE STEFANI, LIGIA G."
"YEATES, TODD O","HOUK, KENDALL N"
"YEATES, TODD O","TANG, YI"
"HOUK, KENDALL N","TANG, YI"
"HUO, DEZHENG","WHITE, KEVIN P."
"HUO, DEZHENG","OLOPADE, OLUFUNMILAYO F."
"WHITE, KEVIN P.","OLOPADE, OLUFUNMILAYO F."
"SCHAFFER, DAVID V","KUMAR, SANJAY"
"SACKS, MICHAEL S","GORMAN, JOSEPH H"
"SACKS, MICHAEL S","VYAVAHARE, NAREN R"
"GORMAN, JOSEPH H","VYAVAHARE, NAREN R"
"CANINO, GLORISA J","CAETANO, RAUL"
"HOTCHKISS, RICHARD SAMUEL","GREEN, JONATHAN M."
"WHITE, PETER","MCBRIDE, KIM LEWIS"
"WHITE, PETER","GARG, VIDU"
"MCBRIDE, KIM LEWIS","GARG, VIDU"
"JONES, DANA LEANNE","WALKER, DAVID W"
"GRINSTAFF, MARK W.","GUERMAZI, ALI"
"GRINSTAFF, MARK W.","SNYDER, BRIAN D"
"GUERMAZI, ALI","SNYDER, BRIAN D"
"MEYERSON, MATTHEW L.","ECK, MICHAEL J"
"KORDING, KONRAD P.","SEGRAVES, MARK A"
"JUPE, ELDON R","BLAIR, IAN ALEXANDER"
"JUPE, ELDON R","SANTEN, RICHARD J"
"JUPE, ELDON R","HEITJAN, DANIEL FRANCIS"
"BLAIR, IAN ALEXANDER","SANTEN, RICHARD J"
"BLAIR, IAN ALEXANDER","HEITJAN, DANIEL FRANCIS"
"SANTEN, RICHARD J","HEITJAN, DANIEL FRANCIS"
"BLAGG, BRIAN S J","DOBROWSKY, RICK T"
"PONOMAREV, VLADIMIR","BLASBERG, RONALD GEORGE"
"PICKARD, GARY EDWARD","SOLLARS, PATRICIA"
"AKERLEY, BRIAN","SHEN, HAO"
"SONDEK, JOHN E","HARDEN, T KENDALL"
"FOX, HELEN CECILIA","SINHA, RAJITA"
"KIEL, DOUGLAS P.","BOUXSEIN, MARY L"
"SHEPARD, PAUL D","ELMER, GREGORY I"
"WHALEN, CHRISTOPHER C.","KIWANUKA, NOAH"
"MICHALET, XAVIER","GHIONI, MASSIMO ANTONIO"
"WAKATSUKI, TETSURO","ELSON, ELLIOT L."
"WAKATSUKI, TETSURO","GENIN, GUY M"
"ELSON, ELLIOT L.","GENIN, GUY M"
"DORRESTEIN, PIETER C","MOORE, BRADLEY S"
"REDLINE, SUSAN S.","SAMDARSHI, TANDAW EINSTEIN"
"DICKEY, MICHAEL WALSH","WARREN, TESSA C"
"ZHOU, HUIPING ROSE","HYLEMON, PHILLIP B"
"MCHUGH, KEVIN P","ROSS, FREDERICK PATRICK"
"LEVINE, ROBERT A","BISCHOFF, JOYCE E."
"LEVINE, ROBERT A","AIKAWA, ELENA"
"BISCHOFF, JOYCE E.","AIKAWA, ELENA"
"LIU, JINZE","PRINS, JAN F"
"REDINBO, MATTHEW R","MANI, SRIDHAR"
"SAMULSKI, RICHARD J","LI, CHENGWEN"
"TABB, DAVID L","LIEBLER, DANIEL C"
"KROUSE, ROBERT SCOTT","HERRINTON, LISA J"
"SHOHAM, DAVID A","LUKE, AMY H"
"PARSONS, JEFFREY T","GOLUB, SARIT A"
"WARE, REGINE SITRUK","ROY, MALABIKA"
"WEISS, SCOTT T","TANTISIRA, KELAN G"
"HOOPER, DAVID C","JACOBY, GEORGE A"
"JI, HANLEE P","ZHANG, NANCY R"
"KOBAK, R. ROGERS","DIAMOND, GUY SIGMOND"
"ZHANG, LI","XU, YAN"
"GOLDGAR, DAVID E.","SOUTHEY, MELISSA"
"GOLDGAR, DAVID E.","TAVTIGIAN, SEAN VAHRAM"
"SOUTHEY, MELISSA","TAVTIGIAN, SEAN VAHRAM"
"WARBURTON, DOROTHY P.","CHUNG, WENDY K"
"LISABETH, LYNDA D","BROWN, DEVIN L"
"JENKINSON, HOWARD F","LAMONT, RICHARD J"
"ETO, MASUMI","SOMLYO, AVRIL V."
"CARR, STEVEN A","GERSZTEN, ROBERT E"
"CARR, STEVEN A","SABATINE, MARC S"
"GERSZTEN, ROBERT E","SABATINE, MARC S"
"FLYNN, JOANNE L.","LINDERMAN, JENNIFER JEAN"
"FLYNN, JOANNE L.","KIRSCHNER, DENISE E"
"LINDERMAN, JENNIFER JEAN","KIRSCHNER, DENISE E"
"MOTSINGER-REIF, ALISON","REED, LAURA K"
"SVIRIDOV, DMITRI","BUKRINSKY, MICHAEL ILYA"
"OLSON, CHRISTINE MARIE","FERNANDEZ, ISABEL DIANA"
"OLSON, CHRISTINE MARIE","FERNANDEZ, ISABEL DIANA"
"CHEN, CHIN-TU","MENG, LING-JIAN"
"POBER, JORDAN S","SALTZMAN, W. MARK"
"LEE, CHUNG","MERCOLA, DAN"
"IKIZLER, TALAT ALP","PRETORIUS, MIAS"
"LIU, PENGYUAN","YOU, MING"
"LABAER, JOSHUA","ANDERSON, KAREN SUE"
"KNUDSEN, BEATRICE S","LIN, DANIEL W."
"KAPLAN, HILLARD S","GURVEN, MICHAEL DOUGLAS"
"SHRIVASTAVA, DEVASHISH","VAUGHAN, JOHN T"
"SHROYER, NOAH FREEMAN","WELLS, JAMES M"
"PARROTT, DOMINIC","ECKHARDT, CHRISTOPHER I"
"GOWER, LAURIE B","KHAN, SAEED R."
"HUGHES, SUSAN L","FITZGIBBON, MARIAN L."
"GARRIGAN, DANIEL WILLIAM","PRESGRAVES, DAVEN C"
"MYER, BENJAMIN LANDON","ABRAMS, ELAINE JANINE"
"DUFF, MELISSA C","BROWN-SCHMIDT, SARAH"
"BOBROW, BENTLEY JORDAN","SPAITE, DANIEL W."
"ELLIS-WEISMER, SUSAN","KAUSHANSKAYA, MARGARITA"
"KIM, JAE-SUNG","LEEUWENBURGH, CHRISTIAAN"
"HEGEMAN, ADRIAN D","BOSWELL, PAUL G"
"HEGEMAN, ADRIAN D","CARR, PETER W"
"BOSWELL, PAUL G","CARR, PETER W"
"BLESS, DIANE M","WELHAM, NATHAN"
"LIU, MIN","WOODS, STEPHEN C"
"LINHARDT, ROBERT J","DORDICK, JONATHAN S."
"YOUNGBLUT, JOANNE M","BROOTEN, DOROTHY"
"KOUMENIS, CONSTANTINOS","KOONG, ALBERT"
"LOWRY, CHRISTOPHER A","SHEKHAR, ANANTHA"
"HEISS, GERARDO","WAGENKNECHT, LYNNE E"
"HEISS, GERARDO","WAGENKNECHT, LYNNE E"
"ZERR, DANIELLE M","WEISSMAN, SCOTT J"
"NOAH, TERRY L","JASPERS, ILONA"
"PFAFF, DONALD W.","SCHIFF, NICHOLAS D"
"PFAFF, DONALD W.","BUTSON, CHRISTOPHER R"
"PFAFF, DONALD W.","PURPURA, KEITH P."
"SCHIFF, NICHOLAS D","BUTSON, CHRISTOPHER R"
"SCHIFF, NICHOLAS D","PURPURA, KEITH P."
"BUTSON, CHRISTOPHER R","PURPURA, KEITH P."
"BURKE, THOMAS J","BROECKEL, ULRICH"
"BURKE, THOMAS J","YU, JUNYING"
"BROECKEL, ULRICH","YU, JUNYING"
"QUERTERMOUS, THOMAS","SCHADT, ERIC E"
"MURPHY, GEORGE J","STEINBERG, MARTIN H."
"MURPHY, GEORGE J","CHUI, DAVID H K"
"MURPHY, GEORGE J","MOSTOSLAVSKY, GUSTAVO"
"STEINBERG, MARTIN H.","CHUI, DAVID H K"
"STEINBERG, MARTIN H.","MOSTOSLAVSKY, GUSTAVO"
"CHUI, DAVID H K","MOSTOSLAVSKY, GUSTAVO"
"GERSZTEN, ROBERT E","RAMACHANDRAN, VASAN S"
"GERSZTEN, ROBERT E","COWAN, CHAD ALBERT"
"GERSZTEN, ROBERT E","KATHIRESAN, SEKAR"
"GERSZTEN, ROBERT E","ROSSI, DERRICK J."
"GERSZTEN, ROBERT E","ROTH, FREDERICK P"
"RAMACHANDRAN, VASAN S","COWAN, CHAD ALBERT"
"RAMACHANDRAN, VASAN S","KATHIRESAN, SEKAR"
"RAMACHANDRAN, VASAN S","ROSSI, DERRICK J."
"RAMACHANDRAN, VASAN S","ROTH, FREDERICK P"
"COWAN, CHAD ALBERT","KATHIRESAN, SEKAR"
"COWAN, CHAD ALBERT","ROSSI, DERRICK J."
"COWAN, CHAD ALBERT","ROTH, FREDERICK P"
"KATHIRESAN, SEKAR","ROSSI, DERRICK J."
"KATHIRESAN, SEKAR","ROTH, FREDERICK P"
"ROSSI, DERRICK J.","ROTH, FREDERICK P"
"CHENG, LINZHAO","BECKER, LEWIS C"
"KATZ, JONATHAN DAVID","HILDEMAN, DAVID A"
"WU, JOSEPH C.","RABINOVITCH, MARLENE"
"WU, JOSEPH C.","SNYDER, MICHAEL P."
"RABINOVITCH, MARLENE","SNYDER, MICHAEL P."
"BALDWIN, KRISTIN KAY","TOPOL, ERIC JEFFREY"
"GLICKSMAN, MARCIE A","CUNY, GREGORY D"
"HAIGIS, KEVIN","LAUFFENBURGER, DOUGLAS A"
"BEAUCHAMP, ROBERT DANIEL","ZHANG, BING"
"CONAWAY, JOAN W","CONAWAY, RONALD C."
"SAJATOVIC, MARTHA X","DAWSON, NEAL V"
"MILLER, LEE","KORDING, KONRAD P."
"KOYAMA, EIKI","PACIFICI, MAURIZIO"
"HOPPER, JOHN L","TERRY, MARY BETH"
"WHITE, FOREST M","MAYER, BRUCE J."
"PALUCKA, ANNA KAROLINA","MERAD, MIRIAM"
"TRIOLO, RONALD J","AUDU, MUSA L"
"SALTZ, JOEL H.","FORAN, DAVID J"
"KIM-SHAPIRO, DANIEL B","GLADWIN, MARK T"
"STEINSCHNEIDER, MITCHELL","FISHMAN, YONATAN"
"KWEE, SANDI ALEXANDER","OKIMOTO, GORDON SHOJI"
"HUTSON, M. SHANE","BRODLAND, GERALD WAYNE"
"KATH, WILLIAM LAWRENCE","SMITH, STEPHEN J"
"KALLIANPUR, ASHA R","HULGAN, TODD M"
"GALATZ, LEESA M","THOMOPOULOS, STAVROS"
"LEE, JAMES JOSEPH","JACOBY, DAVID B"
"MANSOUR, SUZANNE L","SCHOENWOLF, GARY C"
"KLEIN, RONALD","TSAI, MICHAEL Y"
"KLEIN, RONALD","KLEIN, BARBARA EDEN"
"TSAI, MICHAEL Y","KLEIN, BARBARA EDEN"
"PANDOLFINO, JOHN E","KEEFER, LAURIE A"
"ZHAO, XILIN","DRLICA, KARL A"
"ZHAO, XILIN","KERNS, ROBERT JOHN"
"DRLICA, KARL A","KERNS, ROBERT JOHN"
"VICKERS, ANDREW J","HAYES, RICHARD BERNARD"
"VICKERS, ANDREW J","BOORJIAN, STEPHEN"
"VICKERS, ANDREW J","LILJA, HANS"
"VICKERS, ANDREW J","COOPERBERG, MATTHEW R"
"HAYES, RICHARD BERNARD","BOORJIAN, STEPHEN"
"HAYES, RICHARD BERNARD","LILJA, HANS"
"HAYES, RICHARD BERNARD","COOPERBERG, MATTHEW R"
"BOORJIAN, STEPHEN","LILJA, HANS"
"BOORJIAN, STEPHEN","COOPERBERG, MATTHEW R"
"LILJA, HANS","COOPERBERG, MATTHEW R"
"ROMER, DANIEL","PETERS, ELLEN"
"OUSLANDER, JOSEPH G.","TAPPEN, RUTH M"
"SIAMI, FLORA SANDRA","ASSMANN, SUSAN FERA"
"BURLINGAME, ALMA L","WANG, ZHIYONG"
"BEEVERS, CHRISTOPHER G","MADDOX, W TODD TODD"
"OFFNER, HALINA","MURPHY, STEPHANIE J"
"GUEORGUIEVA, RALITZA","O'MALLEY, STEPHANIE S"
"CHRISTEN, WILLIAM G","SCHAUMBERG, DEBRA A"
"BAUCOM, DONALD H","BULIK, CYNTHIA M"
"HOOD, DONALD C.","BIRCH, DAVID G"
"LIN, FENG C","DENNIS, JAMES E"
"PODUST, LARISSA M.","SHERMAN, DAVID H"
"PODUST, LARISSA M.","MONTGOMERY, JOHN"
"SHERMAN, DAVID H","MONTGOMERY, JOHN"
"HAASE, ASHLEY T.","MASOPUST, DAVID"
"WHITTUM-HUDSON, JUDITH A.","PANYAM, JAYANTH"
"WENG, ZHIPING","MELLER, AMIT"
"WENG, ZHIPING","KLAPPERICH, CATHERINE M."
"MELLER, AMIT","KLAPPERICH, CATHERINE M."
"TYNDALE, RACHEL FYNVOLA","LERMAN, CARYN"
"TYNDALE, RACHEL FYNVOLA","LERMAN, CARYN"
"TYNDALE, RACHEL FYNVOLA","LERMAN, CARYN"
"TYNDALE, RACHEL FYNVOLA","LERMAN, CARYN"
"ENGELMAN, JEFFREY A.","WONG, KWOK KIN"
"ZOELLNER, SEBASTIAN","ROSENBERG, NOAH"
"PATO, CARLOS N","PATO, MICHELE T"
"ROMAN, LINDA J","MASTERS, BETTIE SUE SILER"
"ALLEN, PETER J","HAAB, BRIAN B."
"ALLEN, PETER J","BRAND, RANDALL"
"HAAB, BRIAN B.","BRAND, RANDALL"
"OGEDEGBE, OLUGBENGA G.","LANCASTER, KRISTIE J"
"STONE, ERIC A","ANHOLT, ROBERT R. H"
"STONE, ERIC A","MACKAY, TRUDY F."
"ANHOLT, ROBERT R. H","MACKAY, TRUDY F."
"SUMNERS, COLIN","SCHEUER, DEBORAH A"
"KRAUT, MICHAEL A","SELNES, OLA ARVID"
"KRAUT, MICHAEL A","HOGUE, CHARLES W"
"SELNES, OLA ARVID","HOGUE, CHARLES W"
"LERI, ANNAROSA","ANVERSA, PIERO"
"LERI, ANNAROSA","KAJSTURA, JAN"
"ANVERSA, PIERO","KAJSTURA, JAN"
"SALSBERRY, PAMELA J","REAGAN, PATRICIA B"
"MOSES-KOLKO, EYDIE L","HIPWELL, ALISON E"
"BOWCOCK, ANNE MARY","HARBOUR, JAMES WILLIAM"
"MACONES, GEORGE A","CAHILL, ALISON G"
"ARBEIT, JEFFREY MICHAEL","WANG, LIHONG"
"WESTER, C. WILLIAM","LINDEGREN, MARY LOU"
"LANZA, GREGORY M","PAN, DIPANJAN"
"LANZA, GREGORY M","WEILBAECHER, KATHERINE NELSON"
"PAN, DIPANJAN","WEILBAECHER, KATHERINE NELSON"
"COSGROVE, GREGORY P","SCHWARTZ, DAVID ALBERT"
"COSGROVE, GREGORY P","YANG, IVANA V"
"SCHWARTZ, DAVID ALBERT","YANG, IVANA V"
"KARAMICHOS, DIMITRIOS","ZIESKE, JAMES D"
"NEISH, ANDREW S","NUSRAT, ASMA"
"ZHU, QUING","BREWER, MOLLY A"
"O'MALLEY, ALISTAIR JAMES","SUBRAMANIAN, SANKARAN VENKATA"
"DICKERSON, BRADFORD C","BARRETT, LISA FELDMAN"
"TAFT, CASEY T","VASTERLING, JENNIFER"
"ADLER, ADAM J","VELLA, ANTHONY T"
"STICKGOLD, ROBERT","MANOACH, DARA S"
"SCHMIDT, BRIAN L","HARDT, MARKUS"
"HYRIEN, OLLIVIER","ZAND, MARTIN S"
"LOEB, LAWRENCE A","BRENTNALL, TERESA A"
"MCDOWELL, JENNIFER E","DAVIS, CATHERINE LUCY"
"MCDOWELL, JENNIFER E","TOMPOROWSKI, PHILLIP D"
"DAVIS, CATHERINE LUCY","TOMPOROWSKI, PHILLIP D"
"SCHINAZI, RAYMOND FELIX","NORTH, THOMAS W"
"WU, LAN","VAN KAER, LUC"
"XIAO, MING","KWOK, PUI-YAN"
"DUBINETT, STEVEN M.","ELASHOFF, DAVID"
"DUBINETT, STEVEN M.","LENBURG, MARC ELLIOTT"
"DUBINETT, STEVEN M.","SPIRA, AVRUM E"
"ELASHOFF, DAVID","LENBURG, MARC ELLIOTT"
"ELASHOFF, DAVID","SPIRA, AVRUM E"
"LENBURG, MARC ELLIOTT","SPIRA, AVRUM E"
"AMIEUX, PAUL S","MCKNIGHT, GEORGE STANLEY"
"BAUER, CAROL A.","BROZOSKI, THOMAS J."
"BAUER, CAROL A.","ODINTSOV, BORIS M"
"BROZOSKI, THOMAS J.","ODINTSOV, BORIS M"
"LUESCH, HENDRIK","HONG, JIYONG"
"SHIRIHAI, ORIAN S","CORKEY, BARBARA E."
"ZHOU, XIAODONG","MAYES, MAUREEN MAUREEN"
"ZHOU, XIAODONG","REVEILLE, JOHN DUFFIN"
"MAYES, MAUREEN MAUREEN","REVEILLE, JOHN DUFFIN"
"YANAGISAWA, HIROMI","WORD, RUTH A"
"ANASTOPOULOS, ARTHUR DAVID","DUPAUL, GEORGE J"
"ANASTOPOULOS, ARTHUR DAVID","WEYANDT, LISA LEE"
"DUPAUL, GEORGE J","WEYANDT, LISA LEE"
"OPALENIK, SUSAN RENEE","GUELCHER, SCOTT A"
"OPALENIK, SUSAN RENEE","NANNEY, LILLIAN B"
"OPALENIK, SUSAN RENEE","DAVIDSON, JEFFREY M."
"GUELCHER, SCOTT A","NANNEY, LILLIAN B"
"GUELCHER, SCOTT A","DAVIDSON, JEFFREY M."
"NANNEY, LILLIAN B","DAVIDSON, JEFFREY M."
"KAUSHANSKY, KENNETH","GEDDIS, AMY E"
"VELASQUEZ, MARY MARDEN","FIELD, CRAIG A"
"DESHMUKH, UMESH S","FU, SHU MAN"
"MESECAR, ANDREW D","BAKER, SUSAN C."
"COX, NANCY J","DOLAN, MARY EILEEN"
"COX, NANCY J","RATAIN, MARK J"
"DOLAN, MARY EILEEN","RATAIN, MARK J"
"COX, NANCY J","DOLAN, MARY EILEEN"
"COX, NANCY J","RATAIN, MARK J"
"DOLAN, MARY EILEEN","RATAIN, MARK J"
"NEWBURGER, PETER E","WEISSMAN, SHERMAN MORTON"
"ABE, JUN-ICHI","FUJIWARA, KEIGI"
"SCHAEFFER, CINDY M.","SWENSON, CYNTHIA C."
"KINGERY, WADE S","CLARK, DAVID J."
"LATZ, EICKE","FITZGERALD, KATHERINE A."
"GODDARD, WILLIAM ANDREW","STOLTZ, BRIAN M"
"GODDARD, WILLIAM ANDREW","DAVIS, MARK E"
"GODDARD, WILLIAM ANDREW","NEMANI, PRASADARAO V"
"STOLTZ, BRIAN M","DAVIS, MARK E"
"STOLTZ, BRIAN M","NEMANI, PRASADARAO V"
"DAVIS, MARK E","NEMANI, PRASADARAO V"
"SCHULTZ, RICHARD M","LAMPSON, MICHAEL"
"DECLERCQ, EUGENE R","LUKE, BARBARA JOAN"
"DECLERCQ, EUGENE R","DIOP, HAFSATOU"
"LUKE, BARBARA JOAN","DIOP, HAFSATOU"
"YENER, BULENT","LARSEN, MELINDA"
"WONG, DAVID T","ZHOU, XIAOFENG"
"BUHIMSCHI, CATALIN SORIN","BUHIMSCHI, IRINA A"
"FEIGENSON, LISA","HALBERDA, JUSTIN"
"KANAAN, MOIEN","AVRAHAM, KAREN B."
"KELLY, CIARAN P","HO, DAVID D"
"BECKER, CAROLYN BLACK","STEWART, TIFFANY MAE"
"HILLMAN, CHARLES H","KRAMER, ARTHUR F."
"DAVENPORT, PAUL W","MORRIS, KENDALL FRANCIS"
"LIAO, DUANPING","BIXLER, EDWARD O."
"ROODMAN, GARSON DAVID","GALSON, DEBORAH LYNN"
"MOROZ, LEONID L","HAWKINS, ROBERT D"
"LYSAKOWSKI, ANNA","GOLDBERG, JAY M"
"GRAY, RONALD H","PRICE, LANCE BRADLEY"
"WHITE, STEPHEN W","KREUZER, KENNETH N"
"BLACK, MICHAEL J","SHENOY, KRISHNA V"
"PRADHAN, PRABHAKAR","BACKMAN, VADIM"
"LEE, PENG","ZHANG, DAVID Y"
"COLONNA, MARCO","HULTGREN, SCOTT J."
"ZHAO, YAOHUI","STRAUSS, JOHN A"
"ZHAO, YAOHUI","YANG, GONGHUAN"
"STRAUSS, JOHN A","YANG, GONGHUAN"
"POBER, JORDAN S","KLUGER, MARTIN S"
"RAVENELL, JOSEPH E","THOMPSON, HAYLEY S."
"OSTBYE, TRULS","WARD, DIANNE STANTON"
"MIKOS, ANTONIOS G.","KASPER, FRED KURTIS"
"COHEN, GEOFFREY","PRINSTEIN, MITCHELL J"
"CATOV, JANET M","HOLZMAN, CLAUDIA B."
"WERNIG, MARIUS","SUDHOF, THOMAS C."
"WERNIG, MARIUS","SUDHOF, THOMAS C."
"GULLAPALLI, RAO P","MAMCZARZ, JACEK A."
"GULLAPALLI, RAO P","RANDALL, WILLIAM"
"GULLAPALLI, RAO P","ALBUQUERQUE, EDSON X"
"MAMCZARZ, JACEK A.","RANDALL, WILLIAM"
"MAMCZARZ, JACEK A.","ALBUQUERQUE, EDSON X"
"RANDALL, WILLIAM","ALBUQUERQUE, EDSON X"
"XUE, BAOJIAN","JOHNSON, ALAN KIM"
"STANFORD, TERRENCE R","SALINAS, EMILIO"
"WENDT, CHRIS H","YANG, PING"
"NORTH, KARI E.","CUPPLES, L. ADRIENNE"
"NORTH, KARI E.","BORECKI, INGRID BERNADETTE"
"CUPPLES, L. ADRIENNE","BORECKI, INGRID BERNADETTE"
"SIRLIN, CLAUDE B","REEDER, SCOTT B."
"MACKERELL, ALEXANDER D","ROUX, BENOIT"
"LIU, CHENG-YUN KAREN","CHANG, YOUNG-HUI"
"YAWN, BARBARA P","ROCCA, WALTER A"
"FEUSNER, JAMIE","O'NEILL, JOSEPH"
"SEN, SUBRATA","KILLARY, ANN M"
"SEN, SUBRATA","FRAZIER, MARSHA L."
"KILLARY, ANN M","FRAZIER, MARSHA L."
"CUTTLER, LEONA","MOORE, SHIRLEY M"
"CUTTLER, LEONA","BORAWSKI, ELAINE A."
"MOORE, SHIRLEY M","BORAWSKI, ELAINE A."
"FORBES, ERIKA E","KEENAN, KATHRYN ELIZABETH"
"FORBES, ERIKA E","GUYER, AMANDA E"
"KEENAN, KATHRYN ELIZABETH","GUYER, AMANDA E"
"GERWICK, WILLIAM HENRY","MURRAY, THOMAS F"
"GERSCHENSON, MARIANA","MILLER, TRACIE L"
"MAYLIE, JAMES G","ADELMAN, JOHN P"
"TESAR, PAUL JOSEPH","MARKOWITZ, SANFORD D."
"TESAR, PAUL JOSEPH","SCACHERI, PETER CHRISTOPHER"
"MARKOWITZ, SANFORD D.","SCACHERI, PETER CHRISTOPHER"
"PALAPATTU, GANESH S","SREEKUMAR, ARUN"
